,country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb
327,india,2017,malware,telecommunications,7.44,552358.0,weak passwords,ai based detection,37.0,55.2
328,uk,2019,phishing,banking,37.07,502006.5,social engineering,antivirus,9.0,139.24
329,uk,2022,ransomware,healthcare,75.67,413293.0,zero day,antivirus,27.0,55.2
330,india,2024,malware,it,56.19,114357.0,zero day,ai based detection,37.0,53.6
331,usa,2018,phishing,government,51.41,502006.5,zero day,ai based detection,40.0,14.21
332,uk,2016,phishing,telecommunications,63.77,502006.5,zero day,antivirus,37.0,55.2
333,india,2022,sql injection,it,32.73,153154.0,zero day,vpn,37.0,19.77
334,uk,2022,malware,banking,21.87,741153.0,social engineering,encryption,66.0,235.73
335,japan,2024,man-in-the-middle,healthcare,72.08,261230.0,zero day,vpn,37.0,43.79
336,uk,2023,sql injection,it,53.82,688014.0,zero day,encryption,18.0,15.83
337,australia,2018,ddos,education,51.41,45027.0,social engineering,antivirus,68.0,55.2
338,australia,2021,malware,banking,51.41,689681.0,weak passwords,ai based detection,62.0,101.43
339,germany,2020,malware,government,93.49,702688.0,zero day,antivirus,39.0,55.2
340,china,2016,man-in-the-middle,it,97.28,86038.0,weak passwords,encryption,19.0,15.91
341,japan,2015,malware,education,17.19,899381.0,zero day,firewall,66.0,78.69
342,india,2020,malware,it,54.21,502006.5,weak passwords,vpn,34.0,78.84
343,uk,2021,malware,government,64.28,643714.0,weak passwords,vpn,25.0,25.52
344,usa,2023,ransomware,education,71.31,502006.5,zero day,ai based detection,7.0,26.94
345,uk,2020,phishing,banking,51.41,259706.0,social engineering,antivirus,2.0,77.33
346,uk,2021,man-in-the-middle,retail,40.94,698921.0,weak passwords,firewall,72.0,6.22
347,brazil,2024,ransomware,government,32.21,482574.0,unpatched software,firewall,22.0,6.61
348,france,2017,ddos,it,20.44,502006.5,weak passwords,vpn,48.0,18.58
349,russia,2016,ransomware,government,59.66,854961.0,unpatched software,ai based detection,7.0,39.64
350,brazil,2019,sql injection,it,56.33,595157.0,zero day,encryption,41.0,87.04
351,france,2016,phishing,it,2.24,813706.0,weak passwords,vpn,54.0,55.2
352,brazil,2018,ddos,telecommunications,82.05,322527.0,weak passwords,firewall,46.0,197.65
353,china,2024,ddos,healthcare,11.92,557016.0,zero day,firewall,34.0,42.95
354,uk,2017,phishing,healthcare,54.83,966668.0,weak passwords,ai based detection,15.0,53.06
355,france,2020,sql injection,retail,51.41,813165.0,unpatched software,antivirus,44.0,12.14
356,uk,2018,sql injection,it,80.06,400807.0,zero day,firewall,67.0,55.2
357,brazil,2023,man-in-the-middle,retail,74.85,549300.0,weak passwords,antivirus,37.0,55.2
358,brazil,2020,ransomware,government,51.41,956893.0,zero day,antivirus,49.0,88.6
359,india,2015,sql injection,it,46.2,502006.5,zero day,ai based detection,57.0,55.2
360,brazil,2017,phishing,it,51.41,912731.0,zero day,antivirus,37.0,118.99
361,usa,2017,phishing,telecommunications,81.19,362085.0,weak passwords,vpn,5.0,55.2
362,germany,2022,sql injection,it,42.8,502006.5,zero day,firewall,37.0,46.38
363,china,2015,ransomware,it,32.65,502006.5,social engineering,antivirus,51.0,99.74
364,russia,2018,malware,banking,17.99,593009.0,zero day,antivirus,27.0,153.73
365,germany,2023,sql injection,banking,30.68,933754.0,social engineering,antivirus,37.0,55.2
366,uk,2020,ddos,government,82.12,55055.0,zero day,vpn,44.0,76.41
367,france,2020,sql injection,it,94.63,502006.5,weak passwords,ai based detection,10.0,55.2
368,russia,2020,man-in-the-middle,banking,54.03,502006.5,weak passwords,vpn,66.0,63.21
369,uk,2020,ddos,government,10.54,741592.0,zero day,vpn,69.0,55.2
370,uk,2020,phishing,it,51.41,502006.5,social engineering,vpn,5.0,56.64
371,germany,2018,sql injection,it,84.27,502006.5,zero day,firewall,52.0,115.24
372,china,2018,ransomware,retail,35.08,502006.5,social engineering,antivirus,42.0,481.41
373,uk,2018,man-in-the-middle,healthcare,45.11,502006.5,unpatched software,vpn,25.0,230.19
374,australia,2020,man-in-the-middle,retail,92.57,813789.0,unpatched software,antivirus,37.0,1379.91
375,uk,2015,phishing,banking,13.49,345825.0,zero day,ai based detection,6.0,17.27
376,uk,2020,phishing,education,8.42,502006.5,unpatched software,antivirus,61.0,55.2
377,australia,2020,phishing,government,92.5,34011.0,unpatched software,firewall,9.0,71.88
378,usa,2018,phishing,it,51.41,341383.0,weak passwords,antivirus,9.0,1457.83
379,japan,2020,ransomware,banking,51.41,565080.0,zero day,antivirus,37.0,16.24
380,germany,2019,malware,banking,79.24,862136.0,zero day,vpn,37.0,15.49
381,japan,2020,phishing,retail,37.15,241151.0,social engineering,antivirus,56.0,22.22
382,india,2024,man-in-the-middle,government,51.41,321158.0,zero day,vpn,37.0,2.26
383,uk,2023,phishing,it,31.03,472386.0,zero day,encryption,24.0,24.81
384,uk,2015,phishing,healthcare,82.54,34240.0,weak passwords,encryption,45.0,17.48
385,usa,2020,malware,government,34.4,98018.0,zero day,vpn,55.0,68.41
386,japan,2020,phishing,education,72.2,555808.0,weak passwords,ai based detection,4.0,55.2
387,uk,2021,sql injection,healthcare,52.23,449333.0,unpatched software,antivirus,39.0,55.2
388,uk,2024,man-in-the-middle,retail,51.41,368618.0,social engineering,firewall,22.0,227.16
389,france,2022,man-in-the-middle,it,51.41,310175.0,unpatched software,ai based detection,53.0,22.98
390,uk,2020,phishing,retail,51.41,986980.0,zero day,vpn,71.0,14.19
391,uk,2024,phishing,retail,88.54,518181.0,zero day,antivirus,24.0,114.19
392,india,2020,phishing,retail,49.51,502006.5,zero day,encryption,63.0,7.54
393,russia,2018,ddos,telecommunications,4.08,502006.5,zero day,vpn,15.0,851.66
394,uk,2024,phishing,retail,89.31,376586.0,weak passwords,antivirus,37.0,320.27
395,germany,2023,phishing,it,88.55,698597.0,social engineering,antivirus,66.0,27.01
396,uk,2015,sql injection,it,5.26,559195.0,zero day,vpn,52.0,55.2
397,uk,2024,phishing,retail,17.57,236253.0,social engineering,antivirus,38.0,416.05
398,uk,2016,ddos,healthcare,8.01,534847.0,zero day,firewall,37.0,55.2
399,australia,2016,malware,retail,51.41,262611.0,social engineering,antivirus,33.0,349.58
400,brazil,2021,sql injection,telecommunications,11.61,848702.0,zero day,antivirus,48.0,55.2
401,germany,2017,man-in-the-middle,retail,51.41,609952.0,zero day,vpn,7.0,55.2
402,germany,2022,phishing,it,65.86,502006.5,zero day,antivirus,37.0,55.03
403,australia,2021,ransomware,retail,51.41,659734.0,zero day,antivirus,37.0,58.58
404,japan,2020,ddos,retail,64.38,88354.0,zero day,ai based detection,52.0,27.8
405,brazil,2020,phishing,it,75.01,771434.0,zero day,antivirus,38.0,138.97
406,uk,2020,sql injection,it,1.73,91560.0,weak passwords,ai based detection,35.0,11.01
407,uk,2021,phishing,it,51.41,375292.0,unpatched software,firewall,48.0,44.1
408,uk,2015,sql injection,it,70.88,43366.0,weak passwords,ai based detection,43.0,55.2
409,india,2019,ransomware,telecommunications,32.08,502006.5,social engineering,ai based detection,56.0,118.11
410,brazil,2017,phishing,healthcare,51.41,526227.0,weak passwords,vpn,37.0,158.76
411,uk,2024,man-in-the-middle,retail,9.77,621770.0,unpatched software,antivirus,70.0,10.11
412,india,2019,phishing,telecommunications,14.53,857688.0,zero day,antivirus,37.0,55.2
413,brazil,2024,sql injection,banking,33.06,502006.5,weak passwords,antivirus,64.0,371.12
414,russia,2024,phishing,it,51.41,502006.5,unpatched software,vpn,37.0,89.88
415,china,2022,man-in-the-middle,it,85.3,155225.0,zero day,antivirus,13.0,17.77
416,japan,2020,man-in-the-middle,banking,79.68,712646.0,unpatched software,ai based detection,50.0,559.32
417,uk,2022,phishing,it,61.87,298941.0,zero day,antivirus,13.0,64.94
418,uk,2018,phishing,telecommunications,4.92,783480.0,zero day,ai based detection,37.0,320.2
419,germany,2019,phishing,healthcare,99.97,502006.5,zero day,antivirus,37.0,60.42
420,china,2018,malware,education,95.42,917848.0,social engineering,vpn,30.0,1201.25
421,uk,2016,sql injection,education,42.98,194633.0,social engineering,antivirus,37.0,759.77
422,australia,2020,malware,telecommunications,68.42,778844.0,zero day,encryption,65.0,55.2
423,france,2018,sql injection,it,36.14,668774.0,social engineering,antivirus,61.0,234.48
424,france,2023,sql injection,healthcare,69.76,824351.0,zero day,firewall,17.0,55.2
425,uk,2020,phishing,healthcare,3.02,510974.0,weak passwords,encryption,16.0,425.36
426,australia,2021,man-in-the-middle,healthcare,86.29,404595.0,social engineering,ai based detection,3.0,55.2
427,germany,2022,sql injection,it,6.31,742273.0,zero day,ai based detection,67.0,152.79
428,china,2016,phishing,it,27.46,973388.0,zero day,ai based detection,63.0,267.1
429,china,2024,phishing,government,69.28,890675.0,unpatched software,firewall,5.0,3.9
430,germany,2022,sql injection,education,68.96,710896.0,zero day,firewall,18.0,9.25
431,india,2023,sql injection,retail,51.41,30883.0,weak passwords,ai based detection,51.0,2.56
432,uk,2020,sql injection,government,53.76,502006.5,zero day,antivirus,57.0,36.45
433,japan,2020,ddos,healthcare,25.83,96706.0,zero day,firewall,42.0,55.2
434,australia,2016,sql injection,it,51.41,959797.0,social engineering,antivirus,32.0,519.85
435,china,2024,phishing,it,9.45,502006.5,unpatched software,encryption,12.0,61.02
436,japan,2024,phishing,it,63.57,358626.0,weak passwords,vpn,37.0,55.2
437,japan,2017,man-in-the-middle,healthcare,11.3,502006.5,social engineering,firewall,37.0,6.89
438,india,2023,ddos,it,82.11,23683.0,weak passwords,encryption,69.0,4.24
439,usa,2017,man-in-the-middle,it,5.21,22635.0,unpatched software,ai based detection,37.0,50.23
440,uk,2017,sql injection,government,98.75,894933.0,zero day,antivirus,59.0,55.2
441,uk,2020,malware,banking,51.41,259176.0,unpatched software,vpn,37.0,51.99
442,china,2022,man-in-the-middle,banking,12.36,502006.5,social engineering,encryption,37.0,2.46
443,france,2022,ddos,healthcare,51.41,727601.0,social engineering,antivirus,50.0,55.2
444,uk,2021,phishing,retail,56.53,542850.0,zero day,antivirus,41.0,7.72
445,uk,2023,ransomware,education,41.15,352194.0,zero day,firewall,10.0,55.2
446,france,2019,malware,healthcare,39.83,571521.0,weak passwords,antivirus,8.0,94.62
447,brazil,2023,phishing,it,47.59,933271.0,zero day,antivirus,37.0,13.33
448,brazil,2022,phishing,banking,98.06,502006.5,unpatched software,ai based detection,55.0,25.26
449,china,2020,ransomware,it,57.27,762001.0,social engineering,antivirus,67.0,55.2
450,france,2016,ddos,it,82.49,351330.0,weak passwords,antivirus,57.0,49.7
451,uk,2020,malware,healthcare,51.41,158107.0,unpatched software,ai based detection,43.0,55.2
452,usa,2020,sql injection,it,77.45,632319.0,weak passwords,ai based detection,47.0,12.45
453,india,2017,phishing,government,51.41,352250.0,zero day,vpn,39.0,116.29
454,france,2018,phishing,telecommunications,11.28,502006.5,zero day,ai based detection,55.0,24.65
455,brazil,2024,ddos,telecommunications,36.69,502006.5,social engineering,vpn,45.0,16.62
456,uk,2021,ransomware,it,79.33,555527.0,unpatched software,firewall,33.0,46.5
457,russia,2019,sql injection,banking,59.78,681856.0,zero day,antivirus,52.0,11.56
458,germany,2020,ddos,it,38.65,197609.0,zero day,antivirus,15.0,23.8
459,usa,2018,man-in-the-middle,it,85.29,685291.0,social engineering,encryption,53.0,9.05
460,uk,2024,ransomware,retail,37.49,835730.0,zero day,vpn,37.0,55.2
461,germany,2016,phishing,education,48.57,502006.5,unpatched software,firewall,37.0,57.56
462,france,2019,phishing,retail,3.0,298096.0,social engineering,firewall,16.0,19.11
463,uk,2023,phishing,retail,33.06,18579.0,social engineering,vpn,13.0,55.2
464,uk,2021,phishing,it,70.9,490771.0,zero day,antivirus,70.0,46.13
465,germany,2020,phishing,healthcare,51.41,394577.0,unpatched software,antivirus,33.0,39.19
466,india,2021,ddos,it,35.19,155426.0,zero day,firewall,16.0,137.17
467,russia,2017,ransomware,education,88.9,502006.5,zero day,encryption,38.0,170.08
468,uk,2015,man-in-the-middle,healthcare,7.96,770028.0,unpatched software,firewall,58.0,24.64
469,brazil,2023,ransomware,retail,51.41,608520.0,zero day,vpn,37.0,55.2
470,australia,2020,ddos,healthcare,51.41,502006.5,unpatched software,ai based detection,71.0,36.14
471,uk,2015,man-in-the-middle,retail,63.65,311253.0,weak passwords,ai based detection,36.0,55.2
472,uk,2023,phishing,it,84.19,390409.0,zero day,ai based detection,31.0,5.62
473,china,2015,phishing,it,28.35,604786.0,zero day,antivirus,34.0,424.25
474,uk,2024,sql injection,it,84.23,502006.5,social engineering,antivirus,38.0,643.84
475,russia,2020,sql injection,telecommunications,29.89,267678.0,zero day,ai based detection,13.0,37.58
476,uk,2020,phishing,it,5.95,592485.0,weak passwords,firewall,10.0,55.2
477,usa,2018,ddos,government,84.85,639011.0,weak passwords,firewall,37.0,55.2
478,china,2023,man-in-the-middle,telecommunications,28.82,446243.0,zero day,firewall,66.0,5532.09
479,germany,2016,phishing,it,22.48,502006.5,unpatched software,encryption,10.0,292.76
480,brazil,2020,sql injection,it,97.37,796195.0,social engineering,firewall,20.0,45.07
481,australia,2020,sql injection,telecommunications,53.32,55392.0,zero day,vpn,44.0,13.02
482,germany,2016,ddos,it,63.11,502006.5,unpatched software,encryption,6.0,4.91
483,uk,2020,malware,banking,70.19,791366.0,unpatched software,antivirus,61.0,74.08
484,france,2022,malware,it,51.41,727826.0,weak passwords,encryption,63.0,17.56
485,russia,2023,phishing,it,98.07,608695.0,unpatched software,ai based detection,31.0,55.2
486,uk,2019,sql injection,retail,13.96,502006.5,zero day,antivirus,45.0,20.7
487,japan,2024,malware,retail,51.41,353887.0,weak passwords,antivirus,59.0,10.78
488,china,2019,phishing,banking,32.69,502006.5,weak passwords,firewall,26.0,685.89
489,india,2017,ddos,it,70.09,417831.0,unpatched software,encryption,36.0,55.2
490,usa,2020,ransomware,banking,22.62,51219.0,zero day,encryption,36.0,53.95
491,uk,2017,ransomware,it,47.91,153257.0,zero day,encryption,59.0,502.66
492,russia,2020,phishing,it,20.58,768022.0,zero day,vpn,64.0,61.32
493,france,2024,phishing,banking,51.41,314347.0,zero day,antivirus,37.0,15.0
494,germany,2020,phishing,it,33.51,649406.0,social engineering,firewall,37.0,55.2
495,japan,2023,phishing,education,68.28,502006.5,zero day,antivirus,44.0,122.53
496,uk,2020,ddos,banking,51.41,502006.5,weak passwords,antivirus,32.0,11.52
497,france,2015,phishing,retail,44.29,427167.0,unpatched software,encryption,11.0,55.2
498,australia,2023,ransomware,it,41.54,502006.5,zero day,ai based detection,42.0,14.68
499,uk,2019,phishing,telecommunications,90.67,902952.0,weak passwords,encryption,8.0,6.86
500,usa,2023,ransomware,it,34.94,632075.0,social engineering,antivirus,64.0,55.2
501,france,2017,sql injection,healthcare,83.73,728486.0,social engineering,encryption,61.0,957.31
502,australia,2020,phishing,education,64.62,109439.0,zero day,antivirus,32.0,6.7
503,india,2018,malware,education,86.38,1174.0,zero day,vpn,23.0,127.03
504,uk,2024,phishing,it,25.7,953987.0,zero day,ai based detection,65.0,55.2
505,brazil,2021,ddos,government,56.2,713309.0,zero day,antivirus,51.0,26.29
506,russia,2021,ddos,healthcare,11.38,334528.0,zero day,vpn,5.0,22.45
507,usa,2016,phishing,it,92.53,219826.0,social engineering,antivirus,38.0,14.94
508,usa,2015,sql injection,telecommunications,88.6,916744.0,social engineering,antivirus,37.0,58.72
509,usa,2017,phishing,it,30.4,568560.0,zero day,ai based detection,49.0,15.7
510,uk,2019,phishing,education,90.7,440178.0,unpatched software,vpn,15.0,81.92
511,japan,2023,phishing,healthcare,45.38,172628.0,weak passwords,encryption,37.0,50.63
512,usa,2022,ransomware,government,71.33,257989.0,unpatched software,ai based detection,37.0,55.2
513,japan,2021,phishing,healthcare,9.42,573560.0,social engineering,antivirus,37.0,13.99
514,brazil,2018,malware,education,5.27,850056.0,weak passwords,vpn,65.0,22.99
515,australia,2018,phishing,retail,41.59,502006.5,unpatched software,encryption,30.0,169.54
516,usa,2015,sql injection,education,98.78,140958.0,social engineering,ai based detection,51.0,55.2
517,uk,2020,ddos,telecommunications,61.24,965727.0,zero day,antivirus,32.0,12.6
518,russia,2015,phishing,telecommunications,69.34,20269.0,zero day,vpn,36.0,63.37
519,germany,2020,ddos,retail,51.41,323011.0,social engineering,encryption,25.0,168.52
520,usa,2020,ransomware,retail,51.41,50321.0,zero day,antivirus,25.0,4.46
521,uk,2020,ddos,banking,33.99,851863.0,weak passwords,firewall,25.0,123.35
522,china,2024,ddos,it,22.45,704925.0,zero day,ai based detection,52.0,20.21
523,france,2018,ransomware,it,27.78,355077.0,unpatched software,antivirus,37.0,128.5
524,australia,2022,malware,it,47.12,502006.5,social engineering,antivirus,37.0,17.38
525,uk,2016,sql injection,telecommunications,48.77,169455.0,zero day,antivirus,23.0,55.2
526,india,2023,phishing,it,92.35,380022.0,unpatched software,encryption,30.0,55.2
527,usa,2019,phishing,retail,88.98,898679.0,zero day,firewall,37.0,55.2
528,japan,2020,phishing,it,61.69,704157.0,zero day,antivirus,42.0,80.61
529,russia,2022,phishing,telecommunications,84.57,502006.5,weak passwords,antivirus,54.0,14.06
530,uk,2021,ddos,it,67.87,683261.0,unpatched software,antivirus,13.0,142.29
531,uk,2022,phishing,it,59.7,382379.0,unpatched software,firewall,2.0,4.52
532,germany,2024,phishing,government,90.21,510657.0,social engineering,vpn,62.0,49.45
533,uk,2018,sql injection,it,16.23,912558.0,zero day,antivirus,69.0,8.88
534,uk,2020,ransomware,banking,51.41,952504.0,zero day,ai based detection,45.0,20.54
535,france,2015,phishing,it,51.41,913027.0,zero day,antivirus,68.0,55.2
536,uk,2020,malware,government,31.04,502006.5,unpatched software,antivirus,58.0,15.02
537,uk,2016,ransomware,healthcare,37.12,113404.0,zero day,antivirus,37.0,30.67
