Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Data Breach In GB
CHiNa,2015.0,DDoS,GOvErNMenT,22.71,303975.0,NatioN-StAte,SociAL EnGineeRIng,  FirewALL,2.0,
JaPan,,SQL Injection,,,822256.0,InSider,UNpAtched SoftWare,FIrEwaLl,60.0,1360.92
 RuSSia ,2019.0,,HEAltHCARE,53.82,521877.0,Unknown,Zero-day,  EncrYPtioN,66.0,
BraziL!,2016.0, SQL InjeCtion ,EduCAtiOn,,758258.0,UnkNoWN,  ZErO-day  ,EncryptIon,44.0,
BrazIl,2016.0,DDOS,,,988369.0,HackEr GRouP,Weak PaSSworDs,,26.0,
FranCe,2022.0,MaLware,HEaltHCaRe@,67.89,,,Social EnGineerIng#,VPN#,69.0,20.23
Germany!,2021.0,RanSOmwARE,IT,5.54,254933.0,,SOCiAl EnginEering,,41.0,196.1
UK,2023.0,DDOS,GoVErNmEnt,,339144.0,HACker GrOup,Unpatched SOFTWare,VPN,26.0,16.63
,2022.0,RansomWAre,EDucATIOn,57.52,170002.0,UnKnOWn,UnpatcHEd SoftwaRE,AI-bAsEd DeTectiOn,,45.97
JApan#,2019.0,,GOvernmeNt,74.65,491269.0,NAtIOn-stAte,  Zero-day ,FiREwaLL,67.0,116.45
ChiNa,2019.0,  PhisHiNg,,49.14,,INSidER!,SOcial EngineERing,FiREwall,37.0,200.06
 IndiA  ,2018.0,  DDoS ,GOverNment,36.04,446170.0,InSiDEr,UnPAtcheD SOfTware,VPN,72.0,
INdia,2015.0,MalWare,TElecommuniCAtIOns,14.09,28398.0,,  Zero-Day ,ENCrYptioN,22.0,33.06
,2017.0,RanSomwARe,TeleCommUnicAtIoNs,66.36,180698.0,,ZERo-day,EncrYptioN,53.0,26.78
GErmany,,MalWare,,,676384.0,UNKnown,,VPN  #,44.0,20.49
BraZIl!,2015.0, RansomwAre,,61.91,961557.0,,,,,771.38
Japan,2020.0,PhIshInG ,EDuCAtiON,54.47,345334.0,, Weak PaSSwoRds ,AntivirUs ,,
RussIa,2024.0,PHishIng,,87.88,263407.0,NatioN-STatE,Zero-day,AntIVIrUs,8.0,8.24
RUssIa,,PhishiNg,IT#,,791350.0,Nation-staTE,,AntIvirus,32.0,216.33
China,2022.0,RANsomWaRe,TeLEcOMMunicatIOns,64.92,591819.0,UnkNowN,  Zero-DAy ,ANtiviRUs,49.0,1317.16
UK,,SQL InjEction,IT,6.59,186612.0,, UnPatchEd SoftwarE,AnTivIrus,30.0,
,2018.0,RaNsoMWare,,,187730.0,NatiOn-staTe,,AI-baSed Detection,26.0,5.59
FRAnCe,2015.0,SQL InjEctIon,IT,87.78,6456.0,HaCkEr Group,SociAL EngiNeERing,FirewaLL,69.0,26.41
JApan,,,BanKing ,15.73,762662.0,HackEr GROup,ZErO-dAy,FIrewall,56.0,
,,PhishInG,IT,30.26,256396.0,HAcKeR GRoup,Zero-DAY,EncryPtIOn,,
BrAzil,,SQL InJeCTiON,HeAlThcAre,54.59,437634.0,UnKnown,WeaK PasSwOrds!,,29.0,106.24
  RUsSIa,2015.0,,HEalthcaRe,63.09,80855.0,NatIOn-state,ZeRO-day,,53.0,
India,2016.0,PhishiNg,ReTAil,59.36,,,,AI-bASed DEtecTIon,,13.59
JapAN!,2020.0,RanSOmwaRe@,IT,79.52,934400.0,UNKNown,  SociaL ENGinEeRiNG  ,VPN,4.0,49.93
,,,TelecoMMunICatIons @,87.83,547719.0,UnKNown ,,AI-Based DETEctiON,22.0,0.42
ChinA,2016.0,,HEalThcaRE,96.63,808984.0,UnKnOwn,Weak PAsswoRDS#,FirewalL,26.0,11.74
JApan,2023.0,, BanKiNg  @,52.86,261038.0,NAtion-STatE,SociaL EngInEerinG#,EnCryptioN,48.0,37.38
CHina,2024.0,PhiSHiNg,EducatIOn,4.01,,INSider,Zero-DaY,  AntIViRUs,49.0,
ChinA ,2019.0,RaNsomWArE,IT,68.02,175038.0,HAcKEr GRoup,Weak PaSswords,VPN,67.0,631.83
,2022.0,PhishiNg  ,ReTAiL,,774613.0,HAckeR GROup,WEAK PaSSwords , ENcRyPtioN ,53.0,6.39
,2021.0,,HealtHcAre,37.45,558357.0,,WEAk PAssworDs,,49.0,28.22
IndIa,,PhishiNg,,36.78,620056.0,NATIoN-state,Weak PasswoRDs  ,FIrewalL,14.0,66.43
RUSsiA,2018.0,MalwaRe,HealthcarE,40.66,90640.0,UNknown , SoCIAL EngineERiNg ,EnCryptIon,56.0,
Russia,,,ReTaIl,,449596.0,UnknoWn,UnPatCHed SoftwaRe,AI-bAseD DEteCTion,3.0,
AuSTralia,2020.0,RanSomware,HeAlthcAre,58.91,207842.0,NatIoN-stATE,SOCiaL ENgineeRing,AnTivIRus,40.0,312.54
GeRmany,2017.0,Phishing#, RetaIl ,93.6,908249.0,,ZeRO-DaY,  AI-bAsed DeTectIOn  ,53.0,55.44
,2017.0,,,47.39,470895.0,NaTiON-sTaTe,Social ENGINeeRinG,,63.0,12.53
France,2017.0, Malware,EduCation,3.21,342049.0,Nation-StATe,,AI-baSed Detection,31.0,109.2
 Brazil  ,2018.0,PhISHInG#,BankING,98.75,316891.0,HaCKer GrOuP,Social EngINEering,ANtivirus,,73.6
InDiA@,2019.0,MaN-In-ThE-MIddle,EduCaTIoN,27.45,633466.0, UnkNOWn  ,Zero-DAy,AI-baSeD DetecTioN,16.0,
,2023.0,MAlWare,,23.98,123866.0, Nation-StaTE  ,Zero-dAy,FirEwall,,
,2017.0,DDoS,TelecomMuNicAtIons,79.93,305905.0, UnknowN,UNpatched SOftwARe#,ENcryptIon,44.0,30.63
RUSsia,2023.0,, TeLecommunicatiOns,3.66,,,UnPaTcheD SoftwAre ,AI-baSed DETEctiOn,34.0,64.73
,2016.0,Man-IN-the-MiDdle  ,Retail,72.78,11339.0,HaCkeR GroUp,SociaL ENGIneERing,,34.0,
UK,2017.0,SQL InjectION ,BankiNg,73.88,8385.0,NatioN-STate,Social ENgineering, AI-bAsED DetEctIOn ,69.0,589.35
 RussiA ,2024.0,RaNsomware,BAnking,52.8,21810.0,InsiDeR,ZEro-dAy,VPN,48.0,
 INdia  ,,MaN-IN-tHE-MiddLE,,,7347.0, InSIder ,ZerO-DAy ,AI-baseD DETeCtion,7.0,1338.83
GermANY,2021.0,SQL InjecTiOn#,EducatioN,1.62,,HAcKer Group,WEak PaSswOrDS,,58.0,
RussIa,2020.0,DDoS,HeaLThCarE,0.82,683572.0,InsideR,,AntIvirus,69.0,43.48
GermaNy,2015.0,,,90.91,654633.0,,Weak PAssWoRds,,43.0,131.96
,2021.0,,BAnkINg,32.84,,HAckEr Group,ZeRO-day,EnCRypTion,67.0,
RUssia  ,2017.0,MAlwarE!,EdUcation,63.33,185208.0,Unknown,  ZerO-day  ,FIrewall,3.0,21.45
RUSSiA#,2022.0,MAN-in-the-MIdDLe,HealthcAre,,182378.0, INsider ,SociAl EnginEEriNG,AI-BAsEd DEtecTion,10.0,39.96
CHIna,2016.0,PHIsHiNg,,7.73,800480.0,  UNknown  ,ZeRo-Day,,31.0,26.06
India,2019.0,DDOS#,BanKiNg,46.98,,UnkNOwN,Unpatched Software,AI-BASEd DetecTiON,68.0,
RuSsIa,2024.0,Ransomware,,80.11,923911.0,INSider,UNpatcHeD SoFtware,FirEwaLl,,195.27
GERMany,,,EduCation!,11.81,418893.0,,SOciAl EnGinEEring,,31.0,93.27
GERMAnY,2016.0,,EduCatiOn,15.09,914593.0,UNKnown,WEaK PaSsWOrds,AI-bAsed DEteCtioN,1.0,19.31
JaPan,2015.0,SQL InjectiOn, BaNkinG,20.69,,UnknOwN,Zero-daY,,,210.48
India,2019.0,DDoS,,36.86,,InsiDEr,SociAL EnGinEeRIng,VPN,7.0,86.57
AUstralia,2019.0,PhIshInG,EduCAtIon,,812343.0,INsIDer,SoCiAL ENgineeriNg,Antivirus,,184.8
ChiNa,2017.0,MALware,IT,,346390.0,, WeAk PAsswords  ,FIrewaLl,36.0,140.39
BrazIl,,PhisHing,,13.89,30925.0,,ZeRo-DaY, EnCrYpTiON  ,43.0,15.74
UK,2017.0,DDoS,GoverNmenT,15.63,663812.0,,Zero-Day,,57.0,23.56
 BRazil  ,,MAN-in-thE-MiddLe,GoVernMeNt,,220978.0,  NatIOn-StatE,,VPN,47.0,167.49
  UK  ,2021.0,,BanKIng!,,100486.0,NatIon-STate,,,31.0,
  RussIA,2023.0, SQL INjectIoN ,EducaTioN,75.63,,NatiOn-sTate,Weak PasswordS,AnTiVirUS,70.0,52.91
Japan  ,,MAn-iN-tHE-Middle,HealTHCaRe,64.21,707978.0,NatiOn-state!,WeAK PAsswordS,VPN!,41.0,65.1
BrAziL,,PhIsHing,HeAlThcARe,99.14,456432.0,InsideR,,ANtIViruS,66.0,371.11
BraziL,2016.0,Man-in-the-MiDdLe,IT,,,,SOcIAL EnGineeRing,AI-baseD DETEctiOn,52.0,
UK,,DDoS,GovErnment,,890414.0,  Nation-stAte ,UnpaTchEd SoFTware,AI-BasED DeteCtioN,28.0,124.05
FRAnCe!,2021.0,MALWArE  #,IT,,440358.0,,,,,
,2022.0,MaLwAre,,38.89,400752.0,,UNpATChEd SOFtware,AntiVIruS#,36.0,39.39
FranCe,2018.0,PHIshIng ,BankIng ,89.77,134364.0,NatIoN-state,,  AntIviRUs ,63.0,283.77
  GeRmAny  ,2017.0,,TelECOmMuNICatIoNs,15.01,406483.0,InSider,Weak PasSwords,AntiviruS,62.0,188.32
 BraziL,2018.0,  SQL InjeCTiOn,IT,98.38,661583.0,  Insider ,SoCIaL EngiNeering,EncrYPtion ,30.0,
  Russia ,2015.0,SQL INjectiON,EDucAtion,23.49,642834.0,UnkNoWn,,AntivIrus,34.0,386.92
BrazIl,2017.0,RansomwaRe ,IT,9.43,493087.0,Hacker GRoUp,UnPAtchEd SOftwaRe,EncryptIoN,44.0,56.35
BrAzIl!,,,IT  @,97.37,966570.0, NATiON-sTate ,WeAk PAsSWorDS, ANtiVirUs  ,32.0,
RuSsiA,2022.0,PhiShIng,TelecommunicaTions,73.26,687383.0,  NatIoN-sTate ,Weak PassworDS,,8.0,
GERmany,2020.0,,  REtAil  ,78.84,733304.0,,WEak PASsWorDs,,19.0,88.79
,2023.0,,  TelEcommUnIcATionS  !,3.51,661681.0,HaCKeR GroUp, WEAk PAsswOrds  ,AI-baseD DetectION,,44.92
,2020.0,SQL INjEction,IT,25.32,,UnKnowN,,AntiViRus,,63.15
 GERMany,2015.0,PhishinG,BankInG,,861637.0,,,,15.0,
Brazil#,2016.0, SQL InJection ,TelEcOmmuNIcATiOns,73.76,393189.0,,Zero-daY,ANtiViRuS,37.0,16.0
,2022.0,,HeAlTHCare,,999545.0,HaCker Group,SOcIaL ENginEErING,,47.0,1259.64
  UK  ,2021.0, SQL INjection,IT,77.82,935572.0,Hacker GRoUp,SOCIaL EngineEring,Encryption,61.0,12.07
,2016.0,RansoMwAre,IT,,724608.0,HacKer GRoup,SocIaL EnGIneering,,21.0,8.83
,2024.0,DDoS ,BankIng,55.73,750979.0,,Social ENginEEring,AI-bASED DEtectioN,,310.18
IndiA@,2017.0,Malware,TeleCommuNICatiOns,7.44,552358.0,NaTIOn-sTATe,Weak PasSWords, AI-based DetectIon ,,
,2019.0,PhIshiNg,BanKing,37.07,,INsider  ,Social EngineEring,ANtiVirus,9.0,139.24
UK#,2022.0,RANSomWAre,HEAlthCaRe,75.67,413293.0,HAcker GRoUp,Zero-day,AnTiVIruS,27.0,
India,2024.0,MalWarE,,56.19,114357.0,  InsIDER  ,,AI-based DetecTion,,53.6
  USA,2018.0,, Government @,,,HAckeR Group,Zero-dAY, AI-bAsed DeteCtioN,40.0,14.21
,2016.0,, TeLecOMmunIcationS,63.77,,UNKnowN,,,,
INdIa,2022.0,SQL InJecTioN,  IT ,32.73,153154.0,Hacker Group,Zero-Day,VPN,37.0,19.77
,2022.0,  MaLwarE ,BAnKing,21.87,741153.0,,SOcIal EngineeRing,EncryPtioN,66.0,235.73
JAPan,2024.0,MaN-iN-tHe-MIddlE,HEalThcaRE,72.08,261230.0,INSIdEr,,VPN,,43.79
,2023.0,  SQL INjeCtion  ,,53.82,688014.0,Unknown,,  EncrYPtioN  ,18.0,15.83
AuStraliA#,2018.0,DDoS,Education,,45027.0,,SociAL EngIneerinG@, AnTIvirus ,68.0,
AUsTralIa,2021.0,Malware,  BankIng  ,,689681.0,NatIon-staTe,WEaK PasswoRdS,AI-bASed DEteCTioN@,62.0,101.43
GerMany,, MaLWarE  ,  GoverNMeNt !,93.49,702688.0,HACKer GrouP,,AntiViruS,39.0,
China,2016.0,Man-In-thE-Middle,,97.28,86038.0,,Weak PAsSwOrDS ,ENCrypTiOn#,19.0,15.91
JapaN,2015.0,MaLware,EdUcatiOn@,17.19,899381.0,  InsIder  ,,FIRewAll,66.0,78.69
IndIA,,MalWAre,,54.21,,,Weak PAsswOrdS,VPN,34.0,78.84
UK,2021.0,MalwArE,GoVernmenT#,64.28,643714.0,NatION-sTATE,WEak PassworDS,VPN,25.0,25.52
USA,2023.0,RAnsomwarE  ,EDuCATioN,71.31,,INsiDeR ,Zero-day,AI-baSed Detection,7.0,26.94
UK,,PhiShing,BanKiNg,,259706.0,HAcKeR Group  ,SOcIaL EnGiNeErinG,ANTivIRus,2.0,77.33
,2021.0,Man-in-the-MidDlE,  RetAIL,40.94,698921.0,,WeaK PaSsWorDS,FIrewall,72.0,6.22
Brazil,2024.0,RansoMware,GOvernmeNt,32.21,482574.0,NaTion-StAtE,UnpatcHed SoFtwARe  ,FIrEwaLl,22.0,6.61
FrAnCe,2017.0,DDOS,IT,20.44,,NaTion-state,WEAk PasswoRds,VPN,48.0,18.58
RUssiA  @,2016.0,RAnsomWaRE,GOVerNment,59.66,854961.0,Unknown,UNpatChEd SOftwaRE,AI-BAsed DetECtiOn,7.0,39.64
BrAzIL,2019.0,SQL INjEcTion,,56.33,595157.0,UnkNown,ZerO-DAy,EncrypTiON,41.0,87.04
FrAnce,2016.0,,,2.24,813706.0,Hacker GRoUp,WeaK PaSSWordS,  VPN ,54.0,
Brazil,2018.0,DDoS,TElecomMunicAtions  ,82.05,322527.0,NaTIoN-sTAtE,WEAk Passwords,FIRewall,46.0,197.65
China,2024.0,DDoS,HealtHcare ,11.92,557016.0,UnknOwN,,FIrewALL#,34.0,42.95
,2017.0,,HeaLthCaRe,54.83,966668.0,HAckEr GRoUp, Weak PAsswoRds ,  AI-baseD DetEcTion  ,15.0,53.06
FRAnce,2020.0,SQL InJectIon!,  RetaIL  ,,813165.0,NatiON-state,UnpatCHEd Software,,44.0,12.14
,2018.0,SQL InJectIOn,,80.06,400807.0,,,FirEwall,67.0,
  BraZiL  ,2023.0,  Man-in-the-MiddLE  ,Retail,74.85,549300.0,  Hacker GrOuP  ,WEak Passwords,,,
 BrazIl ,,RANSOmWarE,GovernmeNt!,,956893.0,,,ANtIVirus#,49.0,88.6
IndIa,2015.0,SQL InjEctION,,46.2,,INsIder,, AI-Based DEtectIOn ,57.0,
BraZil,2017.0,,IT,,912731.0,,ZeRo-Day,,,118.99
 USA!,2017.0,,TeLECommunicatiOns,81.19,362085.0,,WEAk PAsSwOrds,VPN,5.0,
GermANy,2022.0,SQL InJection,,42.8,,HACKEr Group,ZeRO-Day@,FiRewall,,46.38
CHina,2015.0,RaNsOMwARe,,32.65,,InSiDEr,SocIal EngineeriNG,,51.0,99.74
RuSsIa,2018.0,MaLwarE,BankiNG,17.99,593009.0,UnKnowN,,,27.0,153.73
GerMany@,2023.0,SQL InJectIon, BAnKIng #,30.68,933754.0,INsiDer,SOcIAl ENgIneerInG,,,
,,DDoS,GoVeRnmEnt,82.12,55055.0,HAcKer GrouP,,VPN,44.0,76.41
FrAnCe,2020.0,SQL INjectION,,94.63,,HAckER GRoUp,WEak PasswoRdS,AI-bAsEd DetEcTion,10.0,
RusSia,,MaN-in-ThE-MiDDle,BaNkInG,54.03,,UNKnOwn,WeaK PasSwORdS  ,VPN,66.0,63.21
,2020.0,DDoS,GOVeRNment,10.54,741592.0,InsiDeR,,VPN,69.0,
,2020.0,PhisHing,,,,UNKNown,SoCiAL EngiNeeRing, VPN,5.0,56.64
GermanY,2018.0,SQL InJEction,,84.27,,NaTIon-sTatE,,FirEWAll,52.0,115.24
  China @,2018.0,RAnSoMwAre,RetaiL,35.08,,Hacker GrOup,SOCiaL EngInEeRiNg,AntIVirUs,42.0,481.41
UK@,2018.0,MAn-in-thE-MiddLe,HealtHcare,45.11,,InSideR ,Unpatched Software,VPN,25.0,230.19
AUstraliA,,Man-iN-the-MIddle,ReTail,92.57,813789.0,,UnpAtCHeD SoFtWArE,AntiVIRus,,1379.91
UK#,2015.0,,BANKIng,13.49,345825.0,HaCKer GRoUp,, AI-baSed DetectiON  ,6.0,17.27
UK,,PhIshiNg,EducAtiOn  ,8.42,,  INsider,UnpAtchEd SOFtware,,61.0,
  AUstrAlIa ,2020.0,PhIsHiNg,Government,92.5,34011.0,INSider#,UnpatcHed SoftwAre,FireWalL#,9.0,71.88
 USA  ,2018.0,,,,341383.0,NatIon-stATE@,Weak PaSSwords,,9.0,1457.83
JApan,2020.0,RANSomwarE,Banking ,,565080.0,Unknown,ZeRo-daY,,,16.24
GErmaNy,2019.0, MalwarE, BAnKiNg,79.24,862136.0,,Zero-DAy#,VPN,,15.49
 JApaN,,,ReTaiL,37.15,241151.0,  Hacker GrOuP ,SOCIaL ENgiNeErIng,AntIVirus,56.0,22.22
InDia,2024.0,MaN-In-The-MIddle,GoVernmeNT,,321158.0,InsIdEr,ZerO-dAy, VPN ,37.0,2.26
,2023.0,PhishINg,,31.03,472386.0,,Zero-daY,EncryPTion,24.0,24.81
UK,2015.0,,HealthCare,82.54,34240.0,,WEak PassworDs,EncrYPtioN,45.0,17.48
USA,,MalWarE,GoVernMeNt  ,34.4,98018.0,InsIder,Zero-dAY,VPN,55.0,68.41
JApaN,, PHIshing,EdUcation#,72.2,555808.0,UNkNown,Weak PasSwORds,AI-based DeteCtiOn,4.0,
UK,2021.0,SQL InjectioN,HeaLTHcAre,52.23,449333.0,HackEr Group,  UnpatChed SoftwAre,,39.0,
UK,2024.0,MaN-in-tHe-Middle,RetAIl@,,368618.0,NaTiON-State,SocIaL EnGineeRInG,FirewalL,22.0,227.16
FrANce,2022.0,MAn-in-tHe-MiddlE,IT,,310175.0,HacKER GRoup,UNpatcHED SoFtwaRe,AI-bAsed DetectiOn,53.0,22.98
UK,,PhisHIng,RetAil,,986980.0,NatIon-staTe,ZerO-daY, VPN !,71.0,14.19
UK @,2024.0,,RetAIl,88.54,518181.0,InSiDEr#,,ANtivirus,24.0,114.19
InDia,,PHiSHinG,REtail,49.51,,UnkNoWn, ZeRO-daY ,EncryPtiOn,63.0,7.54
  RUssia,2018.0,DDoS ,TelecOmmunicatIons,4.08,,UnknowN,,VPN,15.0,851.66
,2024.0,PhisHing,Retail,89.31,376586.0,,Weak PasSwORds,,,320.27
GErmaNy#,2023.0,PhishInG,,88.55,698597.0,UNknowN,Social ENgiNeeRing!,AnTivirus,66.0,27.01
,2015.0,SQL INjecTIon,,5.26,559195.0,INsideR,, VPN,52.0,
,2024.0,,RetAil,17.57,236253.0,UnKnOwn,SoCiAl ENgINeErinG!,,38.0,416.05
,2016.0,DDoS,HEaLthCaRE,8.01,534847.0,NAtion-state!,  ZEro-day  ,FirEwAll,,
AUstrALIa,2016.0,Malware ,RetAIl,,262611.0,Unknown,SOCiAL EnGiNeErinG,,33.0,349.58
BRazIL,2021.0, SQL INJeCtiOn ,TeLecoMmUnICatiONs,11.61,848702.0,UNknOwn,,AntiViRus,48.0,
GermaNY,2017.0,Man-In-the-Middle,ReTail,,609952.0,HacKER GrouP,, VPN,7.0,
 GerMANy,2022.0,,IT  ,65.86,,InSiDeR,,,,55.03
  AusTraLia,2021.0,RaNsoMwAre, RetaiL,,659734.0,,,ANTivIrus,,58.58
JapaN,,DDoS,ReTaIl,64.38,88354.0,NATion-sTAte,,AI-BAsED DetEctioN,52.0,27.8
  Brazil ,,Phishing ,,75.01,771434.0,HacKer Group,,,38.0,138.97
,,SQL InjeCtion,,1.73,91560.0,  HackER GRoUP ,WeaK PAsSwoRDs,AI-baSed DEtectIon,35.0,11.01
UK,2021.0,PHIshiNg,,,375292.0,  UnkNown ,Unpatched Software,FireWall ,48.0,44.1
,2015.0,SQL InjeCtIOn,,70.88,43366.0,UNknOwn,Weak PasswoRds,AI-BaseD DetEcTion,43.0,
InDiA,2019.0,RansoMwaRE,TElecommunicaTions@,32.08,,,SociAl EngiNeEring,AI-BasEd DeTECTION,56.0,118.11
BRaZIL,2017.0,,HEalthcARE,,526227.0,HaCKer Group,WeAK PAsswoRdS, VPN  ,,158.76
,2024.0,MaN-IN-the-Middle,ReTAiL!,9.77,621770.0,InsIDer,UnpaTCHEd SOftwAre,,70.0,10.11
India,2019.0,,TelEcommuniCAtions,14.53,857688.0,InsiDer,Zero-day,,,
BraZil,2024.0,SQL InJeCtiON,Banking,33.06,,InSiDeR,WeAk PAssWordS,,64.0,371.12
RussIa,2024.0,,IT,,,UNknOwN,UnpaTChed SOftware,  VPN,37.0,89.88
China,2022.0,MaN-in-The-MiDDle, IT ,85.3,155225.0,,,ANtIvirUS,13.0,17.77
JapAn,,MAN-in-tHe-MiddLE,BanKing,79.68,712646.0,,UnpaTched SOfTwaRe,AI-bAsed DetEction,50.0,559.32
UK,2022.0,PhiShINg,,61.87,298941.0,UnknOwn,ZerO-DAY,ANTiVIRuS  ,13.0,64.94
,2018.0,,TelecoMMUnicatiOns,4.92,783480.0,,ZEro-day @,AI-Based DETecTIon,,320.2
GErMaNy,2019.0,PHishinG@,HealthCARe,99.97,,HACkeR GrouP,,,,60.42
CHina@,2018.0,MalWarE@,EDucaTiOn,95.42,917848.0,Insider!,SociAl ENginEerIng,VPN,30.0,1201.25
,2016.0,SQL Injection,EdUCatiON,42.98,194633.0,Nation-staTE,SOciaL ENgineeRinG,AntiVirus,37.0,759.77
AUstrALia,,Malware,TelecOMMUnicaTiOns,68.42,778844.0,UnKnOWN  ,,EncrYpTion,65.0,
FRanCE,2018.0,SQL InjectioN,,36.14,668774.0,UnknoWn  ,SOcIal EnGineERing,,61.0,234.48
FRANcE  ,2023.0,SQL INjectIoN  ,HeaLthCAre,69.76,824351.0,UnknoWn,ZerO-dAy,FiRewall,17.0,
,2020.0,,HEALtHCare,3.02,510974.0,  UnkNowN ,WeaK PASswords,EnCRYptIOn,16.0,425.36
AustraliA,2021.0,Man-in-tHe-MidDle,HeAlThcare,86.29,404595.0,UnKnown,SOcial EngiNEerInG,AI-BasEd DeTectioN,3.0,
 GeRmanY ,2022.0,  SQL InjeCTIon ,IT,6.31,742273.0,HaCker Group,ZERo-day,AI-based DeTectioN,67.0,152.79
China,2016.0,,,27.46,973388.0,Nation-STatE,Zero-daY,AI-Based DEtectIon,63.0,267.1
CHINa,2024.0,,GoveRNment ,69.28,890675.0, Hacker GroUp ,UnPaTChed SOFTwArE, FIRewall !,5.0,3.9
Germany,2022.0,SQL INJeCtiON,EducatIoN,68.96,710896.0,NatiOn-stATe,Zero-DAY,FirEWaLl,18.0,9.25
INdia,2023.0,SQL Injection ,REtail,,30883.0,NatioN-StaTe, WEAk PassWOrds,AI-bAsed DetectiON,51.0,2.56
,2020.0,SQL InJectiOn,GovErnment,53.76,,UNKnown,,,57.0,36.45
Japan,2020.0,  DDOS  ,HEalthCaRe,25.83,96706.0, InsIDer ,,FirEwall,42.0,
AusTrAlia,2016.0,SQL InjEctioN,,,959797.0,Nation-stATe#,SocIaL EnginEERing,AntiviRus,32.0,519.85
China,2024.0,PhIShInG,,9.45,,HAckEr GrOup!,  UnpatchEd Software ,EncRyption#,12.0,61.02
JapaN,2024.0,,IT,63.57,358626.0,,Weak PasswOrdS,VPN@,,
JApan,2017.0,Man-in-ThE-Middle,  HeaLtHcare,11.3,,INsidEr,SociAL ENGineERINg,Firewall,,6.89
 India ,2023.0,DDoS,,82.11,23683.0,HAckEr GrOUp,  Weak PasSwordS,ENCryPtION@,69.0,4.24
USA,2017.0,  MAn-In-the-MIdDle ,IT,5.21,22635.0,Unknown,UnpaTcHed SofTwarE,AI-based DeteCtion,,50.23
,2017.0,  SQL InjEctioN,GOvernment,98.75,894933.0,INsidER,,  AntiviRUS ,59.0,
,,MaLware  ,BankinG,,259176.0,,UnpatchEd SoftwArE,VPN,,51.99
ChinA,2022.0,Man-in-thE-MiDdle@,BaNKINg,12.36,,,SociAl ENGineeriNg,ENcryption,,2.46
France,2022.0,  DDOS,HeaLthCaRe,,727601.0,INsIDer,SOcial EngIneerinG,,50.0,
UK,2021.0,PHisHing,REtaiL,56.53,542850.0,,,AntivirUS,41.0,7.72
,2023.0,RaNsoMwarE,EdUcATioN,41.15,352194.0,Nation-state,,FIreWall,10.0,
FRanCe ,2019.0,MalwAre,HeAltHcarE ,39.83,571521.0,NatioN-staTe,  WEak PaSSwords ,,8.0,94.62
BraZil,2023.0,,,47.59,933271.0,,,ANtivirus,,13.33
BRazil,2022.0,, BankInG  ,98.06,,InsIDEr,UnpAtched SoftWare,AI-bAsed DeTECtion@,55.0,25.26
ChinA,,RansOmwAre,IT#,57.27,762001.0,NaTion-state,SoCiaL EngiNeerING,,67.0,
FraNce,2016.0,DDoS,,82.49,351330.0,Nation-state,WEAk PAssWoRdS  ,,57.0,49.7
,,Malware,HealthcAre,,158107.0,UnKnown,UnpaTChed SoftwaRe@, AI-BaSed DetEcTiON,43.0,
  USA  ,,SQL InjeCtiOn,,77.45,632319.0,UnKnOWn,Weak PasSWords,AI-bAsED DETectioN,47.0,12.45
IndiA,2017.0,, GovERnmEnT  ,,352250.0,InSider,,VPN,39.0,116.29
FrANce,2018.0,,TeLecOmmunicaTionS,11.28,,HAcKeR Group, ZeRo-day  ,AI-baseD DeTECtion ,55.0,24.65
BRaZIL,2024.0,DDoS, TelecOMmunIcatIonS  ,36.69,,UnkNown,SOcial ENgineerIng,VPN,45.0,16.62
UK,2021.0,RansoMware,,79.33,555527.0,,UnpatChEd SoFTwArE,FirewaLL,33.0,46.5
RusSIA,2019.0,SQL INjectIoN,BankiNg,59.78,681856.0,InsideR,ZerO-day,,52.0,11.56
GeRMany,,DDoS,,38.65,197609.0,NaTiON-sTate,,,15.0,23.8
USA,2018.0,MAn-in-the-MIdDLe,,85.29,685291.0,HacKer GRoup,  SociaL EngiNEeRIng ,EncRYptioN#,53.0,9.05
,2024.0,RANSomwarE,  ReTaIl,37.49,835730.0,INsiDEr,ZeRO-day,VPN,,
GermAny#,2016.0,PHishiNg!,EducATion,48.57,,Unknown,UnpatCHED SofTWare,Firewall,,57.56
FraNce,2019.0,PHishiNG,ReTAIl,3.0,298096.0,  UnkNoWn  , SOciAl EngineErinG  ,FIreWall,16.0,19.11
UK ,2023.0,PhIshiNg,ReTAil,33.06,18579.0, UnkNoWn ,SoCiaL EngiNeeRINg,VPN,13.0,
UK,2021.0,,,70.9,490771.0,,,  AntIVirus #,70.0,46.13
GermANY,2020.0,  PhIsHing@,Healthcare,,394577.0,  NAtIOn-State  , UnpaTcHED SoFtWAre,,33.0,39.19
InDiA,2021.0,DDoS,,35.19,155426.0,  NaTIOn-StaTE,ZEro-Day,FIrewaLl,16.0,137.17
RuSsia,2017.0,RaNsoMware,EDUcaTion,88.9,,INSideR,ZEro-day,EncryPTion,38.0,170.08
,2015.0,Man-in-thE-MiddLe,HeaLthCArE,7.96,770028.0,UnkNown,Unpatched SoftwARE,FIrEwall,58.0,24.64
BRazIl,2023.0,RanSomware,REtaiL,,608520.0,,ZEro-dAY,VPN,,
